Module,Property,Meaning,Type and Range,Default value, Support Dynamic Updates
,noiseWeightVar4Vel,"Noise covariance weight for bbox velocity; if set, location noise will be proportional to box height","Float,
>0.0 considered as set",noiseWeightVar4Vel: -0.1, False
,useAspectRatio,Use aspect ratio in Kalman Filter's states,Boolean,useAspectRatio: 0, False
Object Re-ID,"[All the parameters in
""Model Inference"" module]","This network's input is each target's cropped image. It uses ""Model Inference"" parameters to define the network input format and TensorRT inference properties.","[Refer to ""Model
Inference"" module","[Refer to ""Model Inference"" module]", False
,reidType,"The type of Re-ID network among { DUMMY=0, NvDEEPSORT=1, Reid based reassoc=2, both NvDEEPSORT and reid based reassoc=3 }","Integer,
[0, 3]",reidType: 0, False
,reidFeatureSize,"Size of Re-ID feature","Integer,
>0",reidFeatureSize: 128, False
,reidHistorySize,"Size of feature gallery, i.e. max number of Re-ID features kept for one tracker","Integer,
>0",reidHistorySize: 100, False
,addFeatureNormalization,"If Re-ID network's output Re-ID feature vector is not l2 normalized, explicitly performs l2 normalization",Boolean,addFeatureNormalization: 0, False
,keepAspc,"Whether to keep aspcect ratio when resizing input objects to Re-ID network",Boolean,keepAspc: 1, False
,outputReidTensor,"Output Re-ID features to user meta for downstream usage",Boolean, outputReidTensor: 0, False
Object Model Projection,cameraModelFilepath,"Camera info file path(s) for SV3DT; ordered list per stream index or map keyed by sensor name","String","cameraModelFilepath: """"", False
,waistHeightRatio,The ratio of human upper body with regarding to the whole body. This value is assumed to be the same for all the people.,"Float, (0, 1)",waistHeightRatio: 0.5,
,outputFootLocation,"Output object (especially for human) foot location to object meta and file dump",Boolean,outputFootLocation: 0, False
,outputConvexHull,"Output projected object convex hull (especially cylinder for human) to object meta and file dump",Boolean,outputConvexHull: 1, False
,maxConvexHullSize,"Maximum number of points to consist an object convex hull","Integer,
>0",maxConvexHullSize: 15, False
,minPoseConfidence,"Minimum pose keypoints confidence to be used in human height estimation","Float,
0.0 to 1.0",minPoseConfidence: 0.5, False
Pose Estimation,"[All the parameters in
""Model Inference"" module]","This network's input is each target's cropped image. It uses ""Model Inference"" parameters to define the network input format and TensorRT inference properties.","[Refer to ""Model
Inference"" module]","[Refer to ""Model Inference"" module]",
,poseEstimatorType,"The type of pose estimation network among { DUMMY=0, enable pose estimation=1 }","Integer,
[0, 1]",poseEstimatorType: 0, False
,poseInferenceInterval,"Pose inference frame interval. -1 means only for the first frame of each target and use it to determine the target height. 0 means for every frame. Positive integers mean inference with a strided frame interval. Target height will be updated after each inference.","Integer,
>=-1",poseInferenceInterval: -1, False
,operateOnClassIds,"Class IDs on which pose estimation operates. When class IDs are specified (e.g., [0,1]), only image patches for those classes are sent to pose inference. If not specified or empty, operates on all classes.","List of integers,
>=0","operateOnClassIds: []", False
Model Inference,batchSize,Batch size of network,"Integer,
>0",batchSize: 1, False
,workspaceSize,"Workspace size to be used by TensorRT engine, in MB","Integer,
>0",workspaceSize: 20, False
,inferDims,Network input dimension CHW or HWC based on inputOrder,"Integer,
>0","inferDims: [128, 64, 3]", False
,inputOrder,"Network input order {NCHW=0, NHWC=1}","Integer,
[0, 1]",inputOrder: 1, False
,colorFormat,"Network input color format among {RGB=0, BGR=1 }","Integer,
[0, 1]",colorFormat: 0, False
,networkMode,"Network inference precision mode among {FP32=0, FP16=1, INT8=2 }","Integer,
[0, 1, 2]",networkMode: 0, False
,offsets,"Array of values to be subtracted from each input channel, with length equal to number of channels",Comma delimited float array,"offsets: [0.0, 0.0, 0.0]", False
,netScaleFactor,Scaling factor for network input after subtracting offsets,"Float,
>0",netScaleFactor: 1.0, False
,tltEncodedModel,Absolute path of the TAO toolkit encoded model,String,"tltEncodedModel: """"", False
,tltModelKey,Key for the TAO toolkit encoded model,String,"tltModelKey: """"", False
,onnxFile,Absolute path of the ONNX model file,String,"onnxFile: """"", False
,modelEngineFile,Absolute path to TensorRT engine file,String,"modelEngineFile:""""", False
,calibrationTableFile,"Absolute path to calibration table, required by INT8 only",String,"calibrationTableFile:""""", False
,useVPICropScaler,Use NVIDIA's `VPI™ <https://docs.nvidia.com/vpi/index.html>`_ Crop Scaler algorithm instead of built in implementation,Boolean, useVPICropScaler: 0, False
