Property,Meaning,Type and Range,Example
type,Custom processor type,"String, [ds3d::dataloader, ds3d::datafilter, ds3d::datarender]",type: ds3d::dataloader
name,Indicate user-defined component name,String,name: depthloader
in_caps,Indicate Gst sink caps for the component,String,in_caps: ds3d/datamap
out_caps,Indicate Gst sink caps for the component,String,out_caps: ds3d/datamap
custom_lib_path,Indicate custom lib path,String,custom_lib_path: libnvds_3d_gl_datarender.so
custom_create_function,Indicate custom function to create the specific ds3d processing component,String,custom_create_function: createPointCloudDataRender
config_body,Indicate YAML specific content for the custom component,String,"config_body:
  in_streams: [color, depth]
  max_points: 407040"
