System Configuration,Specification
CPU,AMD EPYC 7742 @ 2.25GHz 3.4GHz Turbo (Rome) HT Off
GPU,A100-PCIE-40GB(GA100) 1*40537 MiB 1*108 SM
Ubuntu,Ubuntu 22.04
GPU Driver,535.161.08
CUDA,12.2
TensorRT,8.6.1.6
GPU clock frequency,1410 MHz
