Application Configuration,Specification
N×1080p 30 fps stream,"| ``sample_1080p_h265.mp4`` (provided with the SDK) N=76
| ``sample_1080p_h264.mp4`` (provided with the SDK) N=45"
Primary GIE," * resnet18_trafficcamnet_pruned.onnx
 * Batch Size = N
 * Interval=0"
Tracker,"Enabled. Processing at 960x544 resolution, IOU tracker enabled."
2 × Secondary GIEs,"All batches size 32. Asynchronous mode enabled.
 * Secondary_VehicleTypes (224×224—Resnet18)
 * Secondary_VehicleMake (224×224—Resnet18)"
Tiled Display,Disabled
Rendering,Disabled
