Property,Meaning,Type and Range,Example
rotation,Specify an extrinsic 3x3 matrix for rotation. Values in Column-major order,"List[Float], Values in Column-major order","rotation: [1, -0.0068, 0.0010, 0.0068, 1, 0, -0.0010, 0, 1]"
translation,Specify an extrinsic 3x1 matrix for translation. Values in Column-major order,"List[Float], Values in Column-major order","translation: [0.01481, -0.0001, 0.0002]"
