output-io-mode,"Sets output side I/O mode (matches sink pad)

(0): auto - GST_V4L2_IO_AUTO

(2): mmap - GST_V4L2_IO_MMAP

(5): dmabuf-import - GST_V4L2_IO_DMABUF_IMPORT","Enum ""GstNvV4l2IOMode""","Default: 0, ""auto""","dGPU
Jetson"
peak-bitrate,"Peak bitrate in variable control-rate. The value must be >= bitrate (1.2*bitrate) is set by default (Default: 0)","Unsigned Integer","Default: 0","Jetson"
poc-type,"Set Picture Order Count type value","Unsigned Integer, 0-2","Default: 1","Jetson"
preset-id,"Sets CUVID Preset ID for Encoder","Unsigned Integer,
1 to 7","Default: 1","dGPU"
preset-level,"HW preset level for encoder.

(0): DisablePreset    - Disable HW-Preset

(1): UltraFastPreset  - UltraFastPreset for high perf

(2): FastPreset       - FastPreset

(3): MediumPreset     - MediumPreset

(4): SlowPreset       - SlowPreset","Enum ""GstV4L2VideoEncHwPreset"" ","Default: 1, ""UltraFastPreset""","Jetson"
Profile,"H.264/H.265 encoder profile.

For H.264:

(0): Baseline         - GST_V4L2_H264_VIDENC_BASELINE_PROFILE

(2): Main             - GST_V4L2_H264_VIDENC_MAIN_PROFILE

(4): High             - GST_V4L2_H264_VIDENC_HIGH_PROFILE

(7): High444          - GST_V4L2_H264_VIDENC_HIGH_444_PREDICTIVE

For H.265:

(0): Main             - GST_V4L2_H265_VIDENC_MAIN_PROFILE

(1): Main10           - GST_V4L2_H265_VIDENC_MAIN10_PROFILE

(3): FREXT            - GST_V4L2_H265_VIDENC_FREXT_PROFILE","Enum ""GstV4l2VideoEncProfileType""","For H.264:

Default: 0 (Baseline)

For H.265:

Default: 0 (Main)","dGPU
Jetson"
Property,"Meaning","Type and Range","Example/Notes","Platforms"
qp-range,"Sets quantization parameter range for P, I and B frame","String, 1 to 51","Default: null","dGPU
Jetson"
quant-b-frames,"Quantization parameter for B-frames (0xffffffff=component default), use with ratecontrol-enable = 0 and preset-level = 0","Unsigned Integer, 0 - 4294967295","Default: 4294967295","Jetson"
quant-i-frames,"Quantization parameter for I-frames (0xffffffff=component default), use with ratecontrol-enable = 0","Unsigned Integer, 0 - 4294967295","Default: 4294967295","Jetson"
quant-p-frames,"Quantization parameter for P-frames (0xffffffff=component default), use with ratecontrol-enable = 0 and preset-level = 0","Unsigned Integer, 0 - 4294967295","Default: 4294967295","Jetson"
ratecontrol-enable,"Enable or Disable rate control mode","Boolean","Default: true","Jetson"
slice-header-spacing,"Slice Header Spacing number of macroblocks/bits in one packet","Unsigned Integer64","Default: 0","Jetson"
SliceIntraRefreshInterval,"Set SliceIntraRefreshInterval","Unsigned Integer","Default: 0","Jetson"
temporalaq,"Set this to enable adaptive quantization (Temporal).","Boolean","Default: false","dGPU"
tuning-info-id,"Sets Tuning Info Preset for encoder.

(1): HighQualityPreset - Tuning Preset for High Quality

(2): LowLatencyPreset - Tuning Preset for Low Latency

(3): UltraLowLatencyPreset - Tuning Preset for Low Latency

(4): LosslessPreset   - Tuning Preset for Lossless","Enum ""GstV4L2VideoEncTuingInfoPreset""","Default: 2 (LowLatencyPreset)","dGPU"
vbvbufsize,"Set VBV buffer size in bits.","Unsigned Integer","Default: 0 (default value by encoder)","dGPU"
vbvinit,"Set VBV initial delay in bits","Unsigned Integer","Default: 0 (default value by encoder)","dGPU"
vbv-size,"virtual buffer size","Unsigned Integer","Default: 4000000","Jetson"
