Name,Description,Type and Range,Example Notes,"| Network Types /
| Applicable to GIEs
| (Primary/Secondary)"
process_mode,"Processing mode, selected from PluginControl::ProcessMode. In deepstream-app PGIE uses PROCESS_MODE_FULL_FRAME by default, SGIE use PROCESS_MODE_CLIP_OBJECTS by default",enum PluginControl::ProcessMode,process_mode: PROCESS_MODE_FULL_FRAME,"All
 
Both"
operate_on_gie_id,Unique ID of the GIE on whose metadata (bounding boxes) this GIE is to operate on,"int32, >=0, valid gie-id.
-1, disable gie-id check, inference on all GIE Ids",operate_on_gie_id: 1,"All

Secondary"
operate_on_class_ids,Class IDs of the parent GIE on which this GIE is to operate on,Comma delimited int32 array,"operate_on_class_ids: [1, 2]
Operates on objects with class IDs 1, 2 generated by parent GIE","All

Secondary"
interval,"Specifies the number of consecutive, batches to be skipped for inference. default is 0",uint32,interval: 1,"All

Primary"
async_mode,Enables inference on detected objects and asynchronous metadata attachments. Works only when tracker-ids are attached. Pushes buffer downstream without waiting for inference results. Attaches metadata after the inference,bool,async_mode: false,"Classifier

Secondary"
object_control,input object filter settings,PluginControl::InputObjectControl,"object_control {
bbox_filter {
min_width: 64
min_height: 64
}
}
see details in
InputObjectControl","All

Secondary"
secondary_reinfer_interval,"Re-inference interval for objects, in frames",uint32,secondary_reinfer_interval: 90,"All

Secondary"
