Property,Meaning,Type and Range,Example Notes
config-file-path,Absolute pathname of configuration file for the Gst-nvinferserver element,String,config-file-path=config_infer_primary.txt
process-mode,"Infer Processing Mode
(0):None, (1)FullFrame, (2)ClipObject.
If set, it could replace input_control.process_mode
","Integer, 0, 1 or 2",process-mode=1
unique-id,"Unique ID identifying metadata generated by this GIE.
If set, it could replace infer_config.unique_id","Integer,
0 to 4,294,967,295",unique-id=1
infer-on-gie-id,See input_control.operate_on_gie_id in the configuration file table,"Integer,
0 to 4,294,967,295",infer-on-gie-id=1
operate-on-class-ids,See input_control.operate_on_class_ids in the configuration file table,An array of colon- separated integers (class-ids),operate-on-class-ids=1:2:4
batch-size,"Number of frames/objects to be inferred together in a batch.
If set, it could replace infer_config.max_batch_size","Integer,
1 – 4,294,967,295",batch-size=4
Interval,"Number of consecutive batches to be skipped for inference
If set, it could replace input_control.interval","Integer, 0 to 32",interval=0
raw-output-generated-callback,Pointer to the raw output generated callback function,Pointer,Cannot be set through gst-launch
raw-output-generated-userdata,Pointer to user data to be supplied with raw-output-generated-callback,Pointer,Cannot be set through gst-launch
