Property,Meaning,Type and Range,Example Notes
gpu-id,Device ID of the GPU to be used for decoding (dGPU only).,"Integer,
0 to 4,294,967,295",gpu-id=0
dump-of-meta,Dumps optical flow output into a .bin file.,,dump-of-meta=1
preset-level,"Selects a preset level, default preset level is 0 i.e. NV_OF_PERF_LEVEL_FAST

Possible values are:

0 (NV_OF_PERF_LEVEL_FAST): high performance, low quality.

1 (NV_OF_PERF_LEVEL_MEDIUM): intermediate performance and quality.

2 (NV_OF_PERF_LEVEL_SLOW): low performance, best quality (valid only for dGPU platforms).","Enum, 0 to 2",preset-level=0
grid-size,"Selects the grid size. The hardware generates flow vectors blockwise, one vector for each block of 4×4 pixels. Currently only the 4x4 grid size is supported.","Enum, 0",grid-size=0
pool-size,Sets the number of internal motion vector output buffers to be allocated.,"Integer,
1 to 4,294,967,295",pool-size=7
